age,days_since_last_login,avg_time_spent,avg_transaction_value,points_in_wallet,joining_day,joining_month,joining_year,last_visit_time_hour,last_visit_time_minutes,last_visit_time_seconds,gender_M,gender_Unknown,region_category_Town,region_category_Village,membership_category_Gold Membership,membership_category_No Membership,membership_category_Platinum Membership,membership_category_Premium Membership,membership_category_Silver Membership,joined_through_referral_No,joined_through_referral_Yes,preferred_offer_types_Gift Vouchers/Coupons,preferred_offer_types_Without Offers,medium_of_operation_Both,medium_of_operation_Desktop,medium_of_operation_Smartphone,internet_option_Mobile_Data,internet_option_Wi-Fi,used_special_discount_Yes,offer_application_preference_Yes,past_complaint_Yes,feedback_Poor Customer Service,feedback_Poor Product Quality,feedback_Poor Website,feedback_Products always in Stock,feedback_Quality Customer Care,feedback_Reasonable Price,feedback_Too many ads,feedback_User Friendly Website
54,181,64.1542068351216,775.9638299502687,314.0673692659646,17,6,2023,5,3,9,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0
75,159,12.402452897373404,142.8349560177366,429.92030956628514,30,12,2021,15,48,58,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
57,180,54.328237797080405,637.9065127747671,48.711615531991995,16,11,2016,22,43,15,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1
38,240,8.465928651315393,18.578221254895205,319.15047961900194,17,8,2015,7,7,34,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1
49,159,65.03153230123131,697.7786895489434,43.62989404750284,23,6,2015,17,42,13,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
59,31,87.60026669004145,815.7778268506238,470.9061277890762,10,1,2023,7,51,29,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0
39,337,16.51340004449724,747.9603947105293,334.2227065779512,1,2,2022,10,20,18,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0
74,236,90.20124022893707,451.1269988093113,179.05939375884938,31,9,2023,8,37,11,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0
41,242,79.84958789197563,55.69962333164473,218.90450222012365,13,9,2024,0,2,7,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0
67,213,47.58886856628222,255.82127850723126,334.25607425555046,1,9,2019,4,51,24,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1
78,63,99.98895886097878,270.1156637419997,59.84147005011692,1,5,2015,6,5,43,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0
78,157,2.1313054282728547,603.5224608307003,79.87887612545214,12,4,2016,6,21,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1
64,287,78.02907626823851,79.67438442433347,237.34394856912942,13,1,2023,20,53,4,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1
76,204,66.89371330315021,233.07378124014824,120.50491359207966,20,8,2022,11,30,34,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1
45,43,23.99011649508408,755.982915338868,183.0217517139376,1,3,2020,10,0,55,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1
30,88,29.82911805857173,398.20444862167943,326.8704716072725,30,1,2017,12,14,27,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0
73,124,45.047175587898046,809.0293918303537,478.0037605972781,1,9,2018,11,30,38,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0
73,46,47.41758728694917,926.5515616287548,453.9612036021635,30,7,2020,6,51,58,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1
55,18,14.898736824495305,383.40367080850774,175.2743559877224,17,4,2016,5,29,42,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1
19,121,81.13612680411406,170.91550620414233,174.94021779054242,12,1,2023,10,22,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
44,76,82.99300988091977,973.2311196186912,459.4292727589341,31,2,2016,5,6,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0
20,184,20.67816855189497,240.58864679803588,363.0411565063429,16,4,2023,21,6,19,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0
66,313,18.036831709261477,484.9221911179819,112.85158101629389,12,11,2024,4,22,2,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0
56,242,61.12605827977268,717.3320731719223,356.90289122410576,19,3,2021,7,51,11,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
52,9,30.358443175407505,306.6746290853197,271.89128598059403,5,4,2018,16,35,35,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0
78,364,82.75438365064974,68.06219047467317,189.394523973222,7,12,2022,3,19,3,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1
21,205,15.43717987387928,743.18976788289,387.68680586365554,16,4,2021,12,35,16,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0
76,154,34.55993607794344,472.0387143702682,156.83101194938587,11,4,2018,22,9,50,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0
51,118,41.6670785075869,62.94017242794142,120.39138258318228,17,3,2015,15,20,27,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
66,138,52.07822019693412,147.5191278977325,57.17528600005656,2,9,2020,22,19,29,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1
73,102,57.92493552675877,331.52808531813145,459.9045620760558,25,1,2021,18,59,44,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
38,326,4.204849273841823,304.3749536831582,304.86240617762627,6,3,2024,15,11,7,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
30,108,34.10229486198751,964.7415941234368,176.37563131317557,31,3,2019,12,27,54,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
72,57,79.22741996595772,480.3898238996651,430.6411736382765,8,3,2016,19,28,49,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0
55,132,17.226248495835325,580.8825606578931,15.586015069057158,20,8,2023,5,12,8,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0
54,156,32.015531018000274,699.2032599593197,215.96953619913094,9,3,2024,5,28,32,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1
28,114,76.08330166981695,109.19033032748801,97.75673592892508,8,2,2015,19,19,55,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1
45,134,9.937423904324028,789.4347667446816,491.5769338347006,20,10,2015,18,26,15,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1
69,286,7.106314894519014,68.15864226422116,354.7288063223647,25,4,2023,11,47,31,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1
19,313,37.654494175157495,775.48078807851,328.84995983498163,8,6,2019,13,22,23,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1
34,75,95.40554415930005,349.73716848828616,185.14629712666175,12,12,2016,6,16,23,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0
72,60,19.50842149420844,866.8682389557677,323.7041039829221,28,1,2024,0,46,36,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1
52,274,32.793889422312375,962.959150990569,446.2188820405685,31,12,2020,21,27,58,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0
63,310,72.26526668109288,485.35987504537917,303.8379083665589,29,4,2024,1,34,51,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0
38,72,65.97150213919971,841.974659545533,310.4329512527463,10,7,2024,22,48,59,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1
75,188,88.10547912065206,190.44052306020671,272.0973728002904,22,3,2019,21,53,38,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0
35,356,93.55280434012238,280.65113999188327,42.19377765834176,22,2,2022,5,46,35,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
26,273,34.223321282242445,179.78569977923084,35.73347081700295,16,11,2019,19,15,30,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0
32,295,54.507510451301265,721.6682902096805,179.2918521771003,23,11,2016,19,54,23,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0
46,216,3.4271182205520474,935.1236335026343,128.68352411250856,30,2,2019,23,19,6,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1
39,213,8.50730870036394,308.60541619261346,408.96036411315515,30,1,2022,15,34,47,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
27,352,45.56718016444646,817.0030581533553,73.27571571115466,19,4,2023,2,19,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0
24,261,10.984757316631036,631.3816772012466,252.76075593579273,28,12,2020,20,38,52,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1
54,112,66.12392513972871,490.7654609556396,175.816655029239,13,4,2019,21,2,17,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1
18,244,20.092466578597698,835.2027865793286,130.41850310122248,21,6,2018,10,12,54,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0
21,151,75.22358480302137,279.35055007661657,317.1360984688209,3,8,2015,5,47,25,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0
37,10,89.23479410090854,404.40330987960664,303.7477173148693,5,10,2018,23,30,31,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0
